"","title","author","subject","abstract","date"
"75","univie: a unified label space approach to visual information extraction from form-like documents","kai hu, jiawei wang, weihong lin, zhuoyao zhong, lei sun, qiang huo","computation and language","existing methods for visual information extraction (vie) from form-like documents typically fragment the process into separate subtasks, such as key information extraction, key-value pair extraction, and choice group extraction. however, these approaches often overlook the hierarchical structure of form documents, including hierarchical key-value pairs and hierarchical choice groups. to address these limitations, we present a new perspective, reframing vie as a relation prediction problem and unifying labels of different tasks into a single label space. this unified approach allows for the definition of various relation types and effectively tackles hierarchical relationships in form-like documents. in line with this perspective, we present univie, a unified model that addresses the vie problem comprehensively. univie functions using a coarse-to-fine strategy. it initially generates tree proposals through a tree proposal network, which are subsequently refined into hierarchical trees by a relation decoder module. to enhance the relation prediction capabilities of univie, we incorporate two novel tree constraints into the relation decoder: a tree attention mask and a tree level embedding. extensive experimental evaluations on both our in-house dataset hierforms and a publicly available dataset sibr, substantiate that our method achieves state-of-the-art results, underscoring the effectiveness and potential of our unified approach in advancing the field of vie.",2024-01-17
"76","s3m: semantic segmentation sparse mapping for uavs with rgb-d camera","thanh nguyen canh, van-truong nguyen, xiem hoangvan, armagan elibol, nak young chong","robotics","unmanned aerial vehicles (uavs) hold immense potential for critical applications, such as search and rescue operations, where accurate perception of indoor environments is paramount. however, the concurrent amalgamation of localization, 3d reconstruction, and semantic segmentation presents a notable hurdle, especially in the context of uavs equipped with constrained power and computational resources. this paper presents a novel approach to address challenges in semantic information extraction and utilization within uav operations. our system integrates state-of-the-art visual slam to estimate a comprehensive 6-dof pose and advanced object segmentation methods at the back end. to improve the computational and storage efficiency of the framework, we adopt a streamlined voxel-based 3d map representation - octomap to build a working system. furthermore, the fusion algorithm is incorporated to obtain the semantic information of each frame from the front-end slam task, and the corresponding point. by leveraging semantic information, our framework enhances the uav's ability to perceive and navigate through indoor spaces, addressing challenges in pose estimation accuracy and uncertainty reduction. through gazebo simulations, we validate the efficacy of our proposed system and successfully embed our approach into a jetson xavier agx unit for real-world applications.",2024-01-16
"77","object-oriented semantic mapping for reliable uavs navigation","thanh nguyen canh, armagan elibol, nak young chong, xiem hoangvan","robotics","to autonomously navigate in real-world environments, special in search and rescue operations, unmanned aerial vehicles (uavs) necessitate comprehensive maps to ensure safety. however, the prevalent metric map often lacks semantic information crucial for holistic scene comprehension. in this paper, we proposed a system to construct a probabilistic metric map enriched with object information extracted from the environment from rgb-d images. our approach combines a state-of-the-art yolov8-based object detection framework at the front end and a 2d slam method - cartographer at the back end. to effectively track and position semantic object classes extracted from the front-end interface, we employ the innovative bot-sort methodology. a novel association method is introduced to extract the position of objects and then project it with the metric map. unlike previous research, our approach takes into reliable navigating in the environment with various hollow bottom objects. the output of our system is a probabilistic map, which significantly enhances the map's representation by incorporating object-specific attributes, encompassing class distinctions, accurate positioning, and object heights. a number of experiments have been conducted to evaluate our proposed approach. the results show that the robot can effectively produce augmented semantic maps containing several objects (notably chairs and desks). furthermore, our system is evaluated within an embedded computer - jetson xavier agx unit to demonstrate the use case in real-world applications.",2024-01-16
"78","embre: entity-aware masking for biomedical relation extraction","mingjie li, karin verspoor","computation and language","information extraction techniques, including named entity recognition (ner) and relation extraction (re), are crucial in many domains to support making sense of vast amounts of unstructured text data by identifying and connecting relevant information. such techniques can assist researchers in extracting valuable insights. in this paper, we introduce the entity-aware masking for biomedical relation extraction (embre) method for biomedical relation extraction, as applied in the context of the biored challenge task 1, in which human-annotated entities are provided as input. specifically, we integrate entity knowledge into a deep neural network by pretraining the backbone model with an entity masking objective. we randomly mask named entities for each instance and let the model identify the masked entity along with its type. in this way, the model is capable of learning more specific knowledge and more robust representations. then, we utilize the pre-trained model as our backbone to encode language representations and feed these representations into two multilayer perceptron (mlps) to predict the logits for relation and novelty, respectively. the experimental results demonstrate that our proposed method can improve the performances of entity pair, relation and novelty extraction over our baseline.",2024-01-15
"79","assessing the effectiveness of binary-level cfi techniques","ruturaj k. vaidya, prasad a. kulkarni","cryptography and security","memory corruption is an important class of vulnerability that can be leveraged to craft control flow hijacking attacks. control flow integrity (cfi) provides protection against such attacks. application of type-based cfi policies requires information regarding the number and type of function arguments. binary-level type recovery is inherently speculative, which motivates the need for an evaluation framework to assess the effectiveness of binary-level cfi techniques compared with their source-level counterparts, where such type information is fully and accurately accessible. in this work, we develop a novel, generalized and extensible framework to assess how the program analysis information we get from state-of-the-art binary analysis tools affects the efficacy of type-based cfi techniques. we introduce new and insightful metrics to quantitatively compare source independent cfi policies with their ground truth source aware counterparts. we leverage our framework to evaluate binary-level cfi policies implemented using program analysis information extracted from the ida pro binary analyzer and compared with the ground truth information obtained from the llvm compiler, and present our observations.",2024-01-13
"80","yoio: you only iterate once by mining and fusing multiple necessary global information in the optical flow estimation","yu jing, tan yujuan, ren ao, liu duo","computer vision and pattern recognition","occlusions pose a significant challenge to optical flow algorithms that even rely on global evidences. we consider an occluded point to be one that is imaged in the reference frame but not in the next. estimating the motion of these points is extremely difficult, particularly in the two-frame setting. previous work only used the current frame as the only input, which could not guarantee providing correct global reference information for occluded points, and had problems such as long calculation time and poor accuracy in predicting optical flow at occluded points. to enable both high accuracy and efficiency, we fully mine and utilize the spatiotemporal information provided by the frame pair, design a loopback judgment algorithm to ensure that correct global reference information is obtained, mine multiple necessary global information, and design an efficient refinement module that fuses these global information. specifically, we propose a yoio framework, which consists of three main components: an initial flow estimator, a multiple global information extraction module, and a unified refinement module. we demonstrate that optical flow estimates in the occluded regions can be significantly improved in only one iteration without damaging the performance in non-occluded regions. compared with gma, the optical flow prediction accuracy of this method in the occluded area is improved by more than 10%, and the occ_out area exceeds 15%, while the calculation time is 27% shorter. this approach, running up to 18.9fps with 436*1024 image resolution, obtains new state-of-the-art results on the challenging sintel dataset among all published and unpublished approaches that can run in real-time, suggesting a new paradigm for accurate and efficient optical flow estimation.",2024-01-11
"81","inacia: integrating large language models in brazilian audit courts: opportunities and challenges","jayr pereira, andre assumpcao, julio trecenti, luiz airosa, caio lente, jhonatan cléto, guilherme dobins, rodrigo nogueira, luis mitchell, roberto lotufo","computation and language","this paper introduces inacia (instrução assistida com inteligência artificial), a groundbreaking system designed to integrate large language models (llms) into the operational framework of brazilian federal court of accounts (tcu). the system automates various stages of case analysis, including basic information extraction, admissibility examination, periculum in mora and fumus boni iuris analyses, and recommendations generation. through a series of experiments, we demonstrate inacia's potential in extracting relevant information from case documents, evaluating its legal plausibility, and formulating propositions for judicial decision-making. utilizing a validation dataset alongside llms, our evaluation methodology presents a novel approach to assessing system performance, correlating highly with human judgment. these results underscore inacia's potential in complex legal task handling while also acknowledging the current limitations. this study discusses possible improvements and the broader implications of applying ai in legal contexts, suggesting that inacia represents a significant step towards integrating ai in legal systems globally, albeit with cautious optimism grounded in the empirical findings.",2024-01-10
"82","from low resource information extraction to identifying influential nodes in knowledge graphs","erica cai, olga simek, benjamin a. miller, danielle sullivan-pao, evan young, christopher l. smith","social and information networks","we propose a pipeline for identifying important entities from intelligence reports that constructs a knowledge graph, where nodes correspond to entities of fine-grained types (e.g. traffickers) extracted from the text and edges correspond to extracted relations between entities (e.g. cartel membership). the important entities in intelligence reports then map to central nodes in the knowledge graph. we introduce a novel method that extracts fine-grained entities in a few-shot setting (few labeled examples), given limited resources available to label the frequently changing entity types that intelligence analysts are interested in. it outperforms other state-of-the-art methods. next, we identify challenges facing previous evaluations of zero-shot (no labeled examples) methods for extracting relations, affecting the step of populating edges. finally, we explore the utility of the pipeline: given the goal of identifying important entities, we evaluate the impact of relation extraction errors on the identification of central nodes in several real and synthetic networks. the impact of these errors varies significantly by graph topology, suggesting that confidence in measurements based on automatically extracted relations should depend on observed network features.",2024-01-10
"83","non-deterministic extension of plasma wind tunnel data calibrated model predictions to flight conditions","przemyslaw rostkowski, jeremie b.e. meurisse, marco panesi","applications","this work proposes a novel approach for non-deterministic extension of experimental data that considers structural model inadequacy for conditions other than the calibration scenario while simultaneously resolving any significant prior-data discrepancy with information extracted from flight measurements. this functionality is achieved through methodical utilization of model error emulators and bayesian model averaging studies with available response data. the outlined approach does not require prior flight data availability and introduces straightforward mechanisms for their assimilation in future predictions. application of the methodology is demonstrated herein by extending material performance data captured at the hymets facility to the msl scenario, where the described process yields results that exhibit significantly improved capacity for predictive uncertainty quantification studies. this work also investigates limitations associated with straightforward uncertainty propagation procedures onto calibrated model predictions for the flight scenario and manages computational requirements with sensitivity analysis and surrogate modeling techniques.",2024-01-09
"84","captain at coliee 2023: efficient methods for legal information retrieval and entailment tasks","chau nguyen, phuong nguyen, thanh tran, dat nguyen, an trieu, tin pham, anh dang, le-minh nguyen","computation and language","the competition on legal information extraction/entailment (coliee) is held annually to encourage advancements in the automatic processing of legal texts. processing legal documents is challenging due to the intricate structure and meaning of legal language. in this paper, we outline our strategies for tackling task 2, task 3, and task 4 in the coliee 2023 competition. our approach involved utilizing appropriate state-of-the-art deep learning methods, designing methods based on domain characteristics observation, and applying meticulous engineering practices and methodologies to the competition. as a result, our performance in these tasks has been outstanding, with first places in task 2 and task 3, and promising results in task 4. our source code is available at this https url.",2024-01-07
"85","umie: unified multimodal information extraction with instruction tuning","lin sun, kai zhang, qingyuan li, renze lou","artificial intelligence","multimodal information extraction (mie) gains significant attention as the popularity of multimedia content increases. however, current mie methods often resort to using task-specific model structures, which results in limited generalizability across tasks and underutilizes shared knowledge across mie tasks. to address these issues, we propose umie, a unified multimodal information extractor to unify three mie tasks as a generation problem using instruction tuning, being able to effectively extract both textual and visual mentions. extensive experiments show that our single umie outperforms various state-of-the-art (sota) methods across six mie datasets on three tasks. furthermore, in-depth analysis demonstrates umie's strong generalization in the zero-shot setting, robustness to instruction variants, and interpretability. our research serves as an initial step towards a unified mie model and initiates the exploration into both instruction tuning and large language models within the mie domain. our code, data, and model are available at this https url",2024-01-05
"86","fine-tuning and utilization methods of domain-specific llms","cheonsu jeong","computation and language","recent releases of pre-trained large language models (llms) have gained considerable traction, yet research on fine-tuning and employing domain-specific llms remains scarce. this study investigates approaches for fine-tuning and leveraging domain-specific llms, highlighting trends in llms, foundational models, and methods for domain-specific pre-training. focusing on the financial sector, it details dataset selection, preprocessing, model choice, and considerations crucial for llm fine-tuning in finance. addressing the unique characteristics of financial data, the study explores the construction of domain-specific vocabularies and considerations for security and regulatory compliance. in the practical application of llm fine-tuning, the study outlines the procedure and implementation for generating domain-specific llms in finance. various financial cases, including stock price prediction, sentiment analysis of financial news, automated document processing, research, information extraction, and customer service enhancement, are exemplified. the study explores the potential of llms in the financial domain, identifies limitations, and proposes directions for improvement, contributing valuable insights for future research. ultimately, it advances natural language processing technology in business, suggesting proactive llm utilization in financial services across industries.",2024-01-01
"87","docgraphlm: documental graph language model for information extraction","dongsheng wang, zhiqiang ma, armineh nourbakhsh, kang gu, sameena shah","computation and language","advances in visually rich document understanding (vrdu) have enabled information extraction and question answering over documents with complex layouts. two tropes of architectures have emerged -- transformer-based models inspired by llms, and graph neural networks. in this paper, we introduce docgraphlm, a novel framework that combines pre-trained language models with graph semantics. to achieve this, we propose 1) a joint encoder architecture to represent documents, and 2) a novel link prediction approach to reconstruct document graphs. docgraphlm predicts both directions and distances between nodes using a convergent joint loss function that prioritizes neighborhood restoration and downweighs distant node detection. our experiments on three sota datasets show consistent improvement on ie and qa tasks with the adoption of graph features. moreover, we report that adopting the graph features accelerates convergence in the learning process during training, despite being solely constructed through link prediction.",2024-01-05
"88","concurrent brainstorming & hypothesis satisfying: an iterative framework for enhanced retrieval-augmented generation (r2cbr3h-sr)","arash shahmansoori","information theory","addressing the complexity of comprehensive information retrieval, this study introduces an innovative, iterative retrieval-augmented generation system. our approach uniquely integrates a vector-space driven re-ranking mechanism with concurrent brainstorming to expedite the retrieval of highly relevant documents, thereby streamlining the generation of potential queries. this sets the stage for our novel hybrid process, which synergistically combines hypothesis formulation with satisfying decision-making strategy to determine content adequacy, leveraging a chain of thought-based prompting technique. this unified hypothesize-satisfied phase intelligently distills information to ascertain whether user queries have been satisfactorily addressed. upon reaching this criterion, the system refines its output into a concise representation, maximizing conceptual density with minimal verbosity. the iterative nature of the workflow enhances process efficiency and accuracy. crucially, the concurrency within the brainstorming phase significantly accelerates recursive operations, facilitating rapid convergence to solution satisfaction. compared to conventional methods, our system demonstrates a marked improvement in computational time and cost-effectiveness. this research advances the state-of-the-art in intelligent retrieval systems, setting a new benchmark for resource-efficient information extraction and abstraction in knowledge-intensive applications.",2024-01-03
"89","enhancing representation in medical vision-language foundation models via multi-scale information extraction techniques","weijian huang, cheng li, hong-yu zhou, jiarun liu, hao yang, yong liang, guangming shi, hairong zheng, shanshan wang","computer vision and pattern recognition","the development of medical vision-language foundation models has attracted significant attention in the field of medicine and healthcare due to their promising prospect in various clinical applications. while previous studies have commonly focused on feature learning at a single learning scale, investigation on integrating multi-scale information is lacking, which may hinder the potential for mutual reinforcement among these features. this paper aims to bridge this gap by proposing a method that effectively exploits multi-scale information to enhance the performance of medical foundation models. the proposed method simultaneously exploits features at the local, instance, modality and global aspects, facilitating comprehensive representation learning within the models. we evaluate the effectiveness of the proposed method on six open-source datasets across different clinical tasks, demonstrating its ability to enhance the performance of medical foundation models.",2024-01-03
"90","an autoregressive text-to-graph framework for joint entity and relation extraction","urchade zaratiana, nadi tomeh, pierre holat, thierry charnois","computation and language","in this paper, we propose a novel method for joint entity and relation extraction from unstructured text by framing it as a conditional sequence generation problem. in contrast to conventional generative information extraction models that are left-to-right token-level generators, our approach is \textit{span-based}. it generates a linearized graph where nodes represent text spans and edges represent relation triplets. our method employs a transformer encoder-decoder architecture with pointing mechanism on a dynamic vocabulary of spans and relation types. our model can capture the structural characteristics and boundaries of entities and relations through span representations while simultaneously grounding the generated output in the original text thanks to the pointing mechanism. evaluation on benchmark datasets validates the effectiveness of our approach, demonstrating competitive results. code is available at this https url.",2024-01-02
"91","l3cube-mahasocialner: a social media based marathi ner dataset and bert models","harsh chaudhari, anuja patil, dhanashree lavekar, pranav khairnar, raviraj joshi","computation and language","this work introduces the l3cube-mahasocialner dataset, the first and largest social media dataset specifically designed for named entity recognition (ner) in the marathi language. the dataset comprises 18,000 manually labeled sentences covering eight entity classes, addressing challenges posed by social media data, including non-standard language and informal idioms. deep learning models, including cnn, lstm, bilstm, and transformer models, are evaluated on the individual dataset with iob and non-iob notations. the results demonstrate the effectiveness of these models in accurately recognizing named entities in marathi informal text. the l3cube-mahasocialner dataset offers user-centric information extraction and supports real-time applications, providing a valuable resource for public opinion analysis, news, and marketing on social media platforms. we also show that the zero-shot results of the regular ner model are poor on the social ner test set thus highlighting the need for more social ner datasets. the datasets and models are publicly available at this https url",2023-12-30
"92","large language models for generative information extraction: a survey","derong xu, wei chen, wenjun peng, chao zhang, tong xu, xiangyu zhao, xian wu, yefeng zheng, enhong chen","computation and language","information extraction (ie) aims to extract structural knowledge (such as entities, relations, and events) from plain natural language texts. recently, generative large language models (llms) have demonstrated remarkable capabilities in text understanding and generation, allowing for generalization across various domains and tasks. as a result, numerous works have been proposed to harness abilities of llms and offer viable solutions for ie tasks based on a generative paradigm. to conduct a comprehensive systematic review and exploration of llm efforts for ie tasks, in this study, we survey the most recent advancements in this field. we first present an extensive overview by categorizing these works in terms of various ie subtasks and learning paradigms, then we empirically analyze the most advanced methods and discover the emerging trend of ie tasks with llms. based on thorough review conducted, we identify several insights in technique and promising research directions that deserve further exploration in future studies. we maintain a public repository and consistently update related resources at: \url{this https url}.",2023-12-29
"93","commonsense for zero-shot natural language video localization","meghana holla, ismini lourentzou","computer vision and pattern recognition","zero-shot natural language-video localization (nlvl) methods have exhibited promising results in training nlvl models exclusively with raw video data by dynamically generating video segments and pseudo-query annotations. however, existing pseudo-queries often lack grounding in the source video, resulting in unstructured and disjointed content. in this paper, we investigate the effectiveness of commonsense reasoning in zero-shot nlvl. specifically, we present coronet, a zero-shot nlvl framework that leverages commonsense to bridge the gap between videos and generated pseudo-queries via a commonsense enhancement module. coronet employs graph convolution networks (gcn) to encode commonsense information extracted from a knowledge graph, conditioned on the video, and cross-attention mechanisms to enhance the encoded video and pseudo-query representations prior to localization. through empirical evaluations on two benchmark datasets, we demonstrate that coronet surpasses both zero-shot and weakly supervised baselines, achieving improvements up to 32.13% across various recall thresholds and up to 6.33% in miou. these results underscore the significance of leveraging commonsense reasoning for zero-shot nlvl.",2023-12-29
"94","noncommutative information is revealed from the static detector outside the black hole","jingran shi, yipeng liu, baocheng zhang","high energy physics - theory","we investigate the transition behavior of the two-level atom as the unruh-dewitt detector outside a noncommutative black hole. when the mass of the black hole is small enough, the difference between the commutative and noncommutative black hole can be distinguished. in particular, an evident fluctuation appearing at a far distance from the horizon by calculating the quantum fisher information of the transition rate with regard to the local hawking temperature provides a novel and interesting result about the information extraction of the noncommutativity for a small-mass black hole.",2023-12-28
"95","autonomous docking method via non-linear model predictive control","roni permana saputra, midriem mirdanies, eko joni pristianto, dayat kurniawan","robotics","this paper presents a proposed method of autonomous control for docking tasks of a single-seat personal mobility vehicle. we proposed a non-linear model predictive control (nmpc) based visual servoing to achieves the desired autonomous docking task. the proposed method is implemented on a four-wheel electric wheelchair platform, with two independent rear driving wheels and two front castor wheels. the nmpc-based visual servoing technique leverages the information extracted from a visual sensor as a real-time feedback for the nmpc to control the motion of the vehicle achieving the desired autonomous docking task. to evaluate the performance of the proposed controller method, a number of experiments both in simulation and in the actual setting. the controller performance is then evaluated based on the controller design requirement. the simulation results on autonomous docking experiments show that the proposed controller has been successfully achieve the desired controller design requirement to generate realtime trajectory for the vehicle performing autonomous docking tasks in several different scenarios.",2023-12-27
"96","solving label variation in scientific information extraction via multi-task learning","dong pham, xanh ho, quang-thuy ha, akiko aizawa","computation and language","scientific information extraction (scientificie) is a critical task that involves the identification of scientific entities and their relationships. the complexity of this task is compounded by the necessity for domain-specific knowledge and the limited availability of annotated data. two of the most popular datasets for scientificie are semeval-2018 task-7 and scierc. they have overlapping samples and differ in their annotation schemes, which leads to conflicts. in this study, we first introduced a novel approach based on multi-task learning to address label variations. we then proposed a soft labeling technique that converts inconsistent labels into probabilistic distributions. the experimental results demonstrated that the proposed method can enhance the model robustness to label noise and improve the end-to-end performance in both scientificie tasks. the analysis revealed that label variations can be particularly effective in handling ambiguous instances. furthermore, the richness of the information captured by label variations can potentially reduce data size requirements. the findings highlight the importance of releasing variation labels and promote future research on other tasks in other domains. overall, this study demonstrates the effectiveness of multi-task learning and the potential of label variations to enhance the performance of scientificie.",2023-12-25
"97","yayi-uie: a chat-enhanced instruction tuning framework for universal information extraction","xinglin xiao, yijie wang, nan xu, yuqi wang, hanxuan yang, minzheng wang, yin luo, lei wang, wenji mao, daniel zeng","computation and language","the difficulty of the information extraction task lies in dealing with the task-specific label schemas and heterogeneous data structures. recent work has proposed methods based on large language models to uniformly model different information extraction tasks. however, these existing methods are deficient in their information extraction capabilities for chinese languages other than english. in this paper, we propose an end-to-end chat-enhanced instruction tuning framework for universal information extraction (yayi-uie), which supports both chinese and english. specifically, we utilize dialogue data and information extraction data to enhance the information extraction performance jointly. experimental results show that our proposed framework achieves state-of-the-art performance on chinese datasets while also achieving comparable performance on english datasets under both supervised settings and zero-shot settings.",2023-12-24
"98","pixel-level change detection pseudo-label learning for remote sensing change captioning","chenyang liu, keyan chen, zipeng qi, haotian zhang, zhengxia zou, zhenwei shi","computer vision and pattern recognition","the existing methods for remote sensing image change captioning (rsicc) perform well in simple scenes but exhibit poorer performance in complex scenes. this limitation is primarily attributed to the model's constrained visual ability to distinguish and locate changes. acknowledging the inherent correlation between change detection (cd) and rsicc tasks, we believe pixel-level cd is significant for describing the differences between images through language. regrettably, the current rsicc dataset lacks readily available pixel-level cd labels. to address this deficiency, we leverage a model trained on existing cd datasets to derive cd pseudo-labels. we propose an innovative network with an auxiliary cd branch, supervised by pseudo-labels. furthermore, a semantic fusion augment (sfa) module is proposed to fuse the feature information extracted by the cd branch, thereby facilitating the nuanced description of changes. experiments demonstrate that our method achieves state-of-the-art performance and validate that learning pixel-level cd pseudo-labels significantly contributes to change captioning. our code will be available at: this https url",2023-12-23
"99","a joint communication and computation design for semantic wireless communication with probability graph","zhouxiang zhao, zhaohui yang, xu gan, quoc-viet pham, chongwen huang, wei xu, zhaoyang zhang","information theory","in this paper, we delve into the challenge of optimizing joint communication and computation for semantic communication over wireless networks using a probability graph framework. in the considered model, the base station (bs) extracts the small-sized compressed semantic information through removing redundant messages based on the stored knowledge base. specifically, the knowledge base is encapsulated in a probability graph that encapsulates statistical relations. at the user side, the compressed information is accurately deduced using the same probability graph employed by the bs. while this approach introduces an additional computational overhead for semantic information extraction, it significantly curtails communication resource consumption by transmitting concise data. we derive both communication and computation cost models based on the inference process of the probability graph. building upon these models, we introduce a joint communication and computation resource allocation problem aimed at minimizing the overall energy consumption of the network, while accounting for latency, power, and semantic constraints. to address this problem, we obtain a closed-form solution for transmission power under a fixed semantic compression ratio. subsequently, we propose an efficient linear search-based algorithm to attain the optimal solution for the considered problem with low computational complexity. simulation results underscore the effectiveness of our proposed system, showcasing notable improvements compared to conventional non-semantic schemes.",2023-12-21
"100","data transformation to construct a dataset for generating entity-relationship model from natural language","zhenwen li, jian-guang lou, tao xie","computation and language","in order to reduce the manual cost of designing er models, recent approaches have been proposed to address the task of nl2erm, i.e., automatically generating entity-relationship (er) models from natural language (nl) utterances such as software requirements. these approaches are typically rule-based ones, which rely on rigid heuristic rules; these approaches cannot generalize well to various linguistic ways of describing the same requirement. despite having better generalization capability than rule-based approaches, deep-learning-based models are lacking for nl2erm due to lacking a large-scale dataset. to address this issue, in this paper, we report our insight that there exists a high similarity between the task of nl2erm and the increasingly popular task of text-to-sql, and propose a data transformation algorithm that transforms the existing data of text-to-sql into the data of nl2erm. we apply our data transformation algorithm on spider, one of the most popular text-to-sql datasets, and we also collect some data entries with different nl types, to obtain a large-scale nl2erm dataset. because nl2erm can be seen as a special information extraction (ie) task, we train two state-of-the-art ie models on our dataset. the experimental results show that both the two models achieve high performance and outperform existing baselines.",2023-12-21
"101","dyblurf: dynamic deblurring neural radiance fields for blurry monocular video","minh-quan viet bui, jongmin park, jihyong oh, munchurl kim","computer vision and pattern recognition","video view synthesis, allowing for the creation of visually appealing frames from arbitrary viewpoints and times, offers immersive viewing experiences. neural radiance fields, particularly nerf, initially developed for static scenes, have spurred the creation of various methods for video view synthesis. however, the challenge for video view synthesis arises from motion blur, a consequence of object or camera movement during exposure, which hinders the precise synthesis of sharp spatio-temporal views. in response, we propose a novel dynamic deblurring nerf framework for blurry monocular video, called dyblurf, consisting of an interleave ray refinement (irr) stage and a motion decomposition-based deblurring (mdd) stage. our dyblurf is the first that addresses and handles the novel view synthesis for blurry monocular video. the irr stage jointly reconstructs dynamic 3d scenes and refines the inaccurate camera pose information to combat imprecise pose information extracted from the given blurry frames. the mdd stage is a novel incremental latent sharp-rays prediction (ilsp) approach for the blurry monocular video frames by decomposing the latent sharp rays into global camera motion and local object motion components. extensive experimental results demonstrate that our dyblurf outperforms qualitatively and quantitatively the very recent state-of-the-art methods. our project page including source codes and pretrained model are publicly available at this https url.",2023-12-21
"102","task-oriented semantics-aware communications for robotic waypoint transmission: the value and age of information approach","wenchao wu, yuanqing yang, yansha deng, a. hamid aghvami","robotics","the ultra-reliable and low-latency communication (urllc) service of the fifth-generation (5g) mobile communication network struggles to support safe robot operation. nowadays, the sixth-generation (6g) mobile communication network is proposed to provide hyper-reliable and low-latency communication to enable safer control for robots. however, current 5g/ 6g research mainly focused on improving communication performance, while the robotics community mostly assumed communication to be ideal. to jointly consider communication and robotic control with a focus on the specific robotic task, we propose task-oriented and semantics-aware communication in robotic control (tsrc) to exploit the context of data and its importance in achieving the task at both transmitter and receiver. at the transmitter, we propose a deep reinforcement learning algorithm to generate optimal control and command (c&c) data and a proactive repetition scheme (deeppro) to increase the successful transmission probability. at the receiver, we design the value of information (voi) and age of information (aoi) based queue ordering mechanism (va-qom) to reorganize the queue based on the semantic information extracted from the aoi and the voi. the simulation results validate that our proposed tsrc framework achieves a 91.5% improvement in the mean square error compared to the traditional unmanned aerial vehicle control framework.",2023-12-20
"103","progressive frequency-aware network for laparoscopic image desmoking","jiale zhang, wenfeng huang, xiangyun liao, qiong wang","image and video processing","laparoscopic surgery offers minimally invasive procedures with better patient outcomes, but smoke presence challenges visibility and safety. existing learning-based methods demand large datasets and high computational resources. we propose the progressive frequency-aware network (pfan), a lightweight gan framework for laparoscopic image desmoking, combining the strengths of cnn and transformer for progressive information extraction in the frequency domain. pfan features cnn-based multi-scale bottleneck-inverting (mbi) blocks for capturing local high-frequency information and locally-enhanced axial attention transformers (lat) for efficiently handling global low-frequency information. pfan efficiently desmokes laparoscopic images even with limited training data. our method outperforms state-of-the-art approaches in psnr, ssim, ciede2000, and visual quality on the cholec80 dataset and retains only 629k parameters. our code and models are made publicly available at: this https url.",2023-12-19
"104","agent-based learning of materials datasets from scientific literature","mehrad ansari, seyed mohamad moosavi","artificial intelligence","advancements in machine learning and artificial intelligence are transforming materials discovery. yet, the availability of structured experimental data remains a bottleneck. the vast corpus of scientific literature presents a valuable and rich resource of such data. however, manual dataset creation from these resources is challenging due to issues in maintaining quality and consistency, scalability limitations, and the risk of human error and bias. therefore, in this work, we develop a chemist ai agent, powered by large language models (llms), to overcome these challenges by autonomously creating structured datasets from natural language text, ranging from sentences and paragraphs to extensive scientific research articles. our chemist ai agent, eunomia, can plan and execute actions by leveraging the existing knowledge from decades of scientific research articles, scientists, the internet and other tools altogether. we benchmark the performance of our approach in three different information extraction tasks with various levels of complexity, including solid-state impurity doping, metal-organic framework (mof) chemical formula, and property relations. our results demonstrate that our zero-shot agent, with the appropriate tools, is capable of attaining performance that is either superior or comparable to the state-of-the-art fine-tuned materials information extraction methods. this approach simplifies compilation of machine learning-ready datasets for various materials discovery applications, and significantly ease the accessibility of advanced natural language processing tools for novice users in natural language. the methodology in this work is developed as an open-source software on this https url.",2023-12-18
"105","perceptual musical features for interpretable audio tagging","vassilis lyberatos, spyridon kantarelis, edmund dervakos, giorgos stamou","sound","in the age of music streaming platforms, the task of automatically tagging music audio has garnered significant attention, driving researchers to devise methods aimed at enhancing performance metrics on standard datasets. most recent approaches rely on deep neural networks, which, despite their impressive performance, possess opacity, making it challenging to elucidate their output for a given input. while the issue of interpretability has been emphasized in other fields like medicine, it has not received attention in music-related tasks. in this study, we explored the relevance of interpretability in the context of automatic music tagging. we constructed a workflow that incorporates three different information extraction techniques: a) leveraging symbolic knowledge, b) utilizing auxiliary deep neural networks, and c) employing signal processing to extract perceptual features from audio files. these features were subsequently used to train an interpretable machine-learning model for tag prediction. we conducted experiments on two datasets, namely the mtg-jamendo dataset and the gtzan dataset. our method surpassed the performance of baseline models in both tasks and, in certain instances, demonstrated competitiveness with the current state-of-the-art. we conclude that there are use cases where the deterioration in performance is outweighed by the value of interpretability.",2023-12-18
"106","language-conditioned learning for robotic manipulation: a survey","hongkuan zhou, xiangtong yao, yuan meng, siming sun, zhenshan bing, kai huang, alois knoll","robotics","language-conditioned robotic manipulation represents a cutting-edge area of research, enabling seamless communication and cooperation between humans and robotic agents. this field focuses on teaching robotic systems to comprehend and execute instructions conveyed in natural language. to achieve this, the development of robust language understanding models capable of extracting actionable insights from textual input is essential. in this comprehensive survey, we systematically explore recent advancements in language-conditioned approaches within the context of robotic manipulation. we analyze these approaches based on their learning paradigms, which encompass reinforcement learning, imitation learning, and the integration of foundational models, such as large language models and vision-language models. furthermore, we conduct an in-depth comparative analysis, considering aspects like semantic information extraction, environment & evaluation, auxiliary tasks, and task representation. finally, we outline potential future research directions in the realm of language-conditioned learning for robotic manipulation, with the topic of generalization capabilities and safety issues. the github repository of this paper can be found at this https url",2023-12-17
